City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nizhnesortymskiy,62.4397,71.7603,12.57,57,100,7.06,RU,1721525845
83,aldinga beach,-35.2793,138.4604,13.48,90,74,7.86,AU,1721525846
84,huetamo de nunez,18.5833,-100.8833,26.3,75,100,0.78,MX,1721525847
85,visby,57.6409,18.296,15.46,94,75,2.06,SE,1721525848
86,ambositra,-20.5167,47.25,8.52,92,0,0.26,MG,1721525849
87,safi,32.1667,-8.8333,20.79,77,0,4.92,MA,1721525850
88,menongue,-14.6585,17.691,9.39,27,3,0.96,AO,1721525852
89,chos malal,-37.3781,-70.2709,4.96,65,0,2.07,AR,1721525853
90,praia,14.9215,-23.5087,26.3,83,20,0.51,CV,1721525854
91,kapuskasing,49.4169,-82.4331,16.05,62,0,2.57,CA,1721525855
92,taos,36.4072,-105.5731,19.22,62,40,6.69,US,1721525856
93,mazamari,-11.3258,-74.5308,21.58,64,83,0.94,PE,1721525857
94,fauske,67.2588,15.3918,18.21,79,21,3.62,NO,1721525858
95,papao,-17.75,-149.55,25.82,61,71,11.67,PF,1721525860
96,tsiombe,-25.3,45.4833,16.05,85,10,0.56,MG,1721525861
97,platnirovskaya,45.3953,39.3842,21.97,75,0,2.28,RU,1721525862
98,hithadhoo,-0.6,73.0833,28.78,75,55,4.29,MV,1721525863
99,tazovsky,67.4667,78.7,8.17,60,0,5.91,RU,1721525864
100,belomorsk,64.5232,34.7668,9.26,93,6,2.48,RU,1721525865
101,wailua homesteads,22.0669,-159.378,28.44,72,40,4.63,US,1721525867
102,inhambane,-23.865,35.3833,18.99,82,15,2.02,MZ,1721525868
103,chonchi,-42.6128,-73.8092,4.51,95,67,0.52,CL,1721525869
104,brookings,44.3114,-96.7984,25.0,61,0,2.57,US,1721525587
105,nguigmi,14.2495,13.1092,27.61,60,100,4.46,NE,1721525871
106,balad,34.0164,44.1453,32.21,24,0,2.84,IQ,1721525872
107,fale old settlement,-9.3852,-171.2468,28.43,74,64,10.19,TK,1721525873
108,alotau,-10.3069,150.4462,24.75,77,100,2.7,PG,1721525875
109,guerrero negro,27.9769,-114.0611,22.53,76,22,5.48,MX,1721525876
110,fisterra,42.9049,-9.2629,14.3,78,98,5.53,ES,1721525877
